#Province id 0 is ignored, hard coded.
0;0;0;0;;x;
1;42;3;128;Amykles;x;
2;84;6;1;Skoura;x;
3;126;9;129;Sahlala;x;
4;168;12;2;Menelaion;x;
5;0;15;130;Loggastra;x;
6;168;45;177;Vresthena;x;
7;84;21;131;Huratta;x;
8;126;24;4;Gorani;x;
9;168;27;132;Drar;x;
10;0;30;5;Huliam;x;
11;42;33;133;Gythion;x;
12;84;36;6;Passavas;x;
13;126;39;134;Usesh;x;
14;168;42;7;Balihu;x;
15;0;45;135;Akriai;x;
16;42;48;8;Gurpissu;x;
17;84;51;136;Taenaron;x;
18;126;54;9;Grammousa;x;
19;168;57;137;Kaseno;x;
20;0;60;10;Maklant;x;
21;42;63;138;Gialos;
22;84;66;11;Areópoli;x;
23;126;69;139;Isnija;x;
24;168;72;12;Élos;x;
25;0;75;140;Leuktro;x;
26;42;78;13;Ashtillu;x;
27;126;84;14;Shaltu;x;
28;84;81;141;Paralía;x;
29;168;87;142;Kitriaí;x;
30;0;90;15;Sushkallu;x;
31;42;93;143;Ussuru;x;
32;84;96;16;Aecernia;x;
33;23;3;23;Sinjar Mountains;x;
34;23;3;24;Profitis Ilias;x;
35;23;3;25;Mountain;x;
36;23;3;26;Mountain;x;
37;23;3;27;Parnon;x;
38;23;3;28;Mountain;x;
39;23;3;29;Mountain;x;
40;23;3;30;Mountain;x;
41;23;3;31;Mountain;x;
42;23;3;32;Aigaleon;x;
43;23;3;33;Mountain;x;
44;23;3;34;Mountain;x;
45;23;3;35;Mountain;x;
46;255;255;255;Potentia;x;
47;37;12;192;Asprókhoma;x;
48;185;94;41;Velika;x;
49;243;3;193;Arfará;x;
50;5;231;43;Mezana;x;
51;102;87;233;Dorion;x;
52;65;55;176;Pashi;x;
53;48;123;111;Diodia;x;
54;99;37;181;Korone;x;
55;22;1;243;Asine;x;
56;77;53;176;Iamia;x;
57;35;108;217;Lissos;
58;23;3;36;Mountain;x;
59;56;213;96;Mitassa;
60;79;32;173;Gialova;x;
61;46;62;218;Vlakhópoulon;x;
62;75;52;176;Lefki;x;
63;216;233;5;Sipanzak;x;
64;243;11;65;Marathó;x;
65;65;225;54;Kyparissai;x;
66;176;215;90;Aulon;x;
67;147;155;50;Shilati;x;
68;126;70;239;Lepreo;x;
69;23;3;37;Mountain;x;
70;23;3;38;Mountain;x;
71;23;3;39;Erymanthos;x;
72;23;3;40;Mountain;x;
73;23;3;41;Panakhaiko;x;
74;23;3;42;Mountain;x;
75;23;3;43;Aroania;x;
76;23;3;44;Kyllini;x;
77;23;3;45;Mountain;x;
78;23;3;46;Mountain;x;
79;23;3;47;Mountain;x;
80;23;3;48;Mountain;x;
81;23;3;49;Mountain;x;
82;23;3;50;Mountain;x;
83;23;3;51;Mountain;x;
84;23;3;52;Mountain;x;
85;23;3;53;Mountain;x;
86;23;3;54;Mountain;x;
87;23;3;55;Mountain;x;
88;23;3;56;Mountain;x;
89;23;3;57;Mountain;x;
90;23;3;58;Parne;x;
91;23;3;59;Mountain;x;
92;23;3;60;Mountain;x;
93;23;3;61;Mountain;x;
94;23;3;62;Mountain;x;
95;23;3;63;Mountain;x;
96;23;3;64;Mountain;x;
97;23;3;65;Dirphys;x;
98;23;3;66;Mountain;x;
99;23;3;67;Mountain;x;
100;23;3;68;Mountain;x;
101;23;3;69;Mountain;x;
102;23;3;70;Mountain;x;
103;23;3;71;Mountain;x;
104;23;3;72;Mountain;x;
105;23;3;73;Taurus;x;
106;233;3;74;Adrarre;x;
107;7;86;204;Waspu;x;
108;234;154;172;Pylos;x;
109;187;143;87;Mashîru;x;
110;163;80;40;Gamlu;x;
111;11;247;159;Kremasti; x
112;160;199;7;Richea;x;
113;32;180;254;Asopos;x;
114;22;213;93;Elika;x;
115;187;244;31;Sykéa;x;
116;122;45;95;Waksur;
117;63;137;238;Uta;x;
118;223;156;253;Pavlopetri;x;
119;117;193;84;Elamkû;x;
120;132;32;11;Boiai;
121;247;28;178;Epitrillium;x;
122;230;110;50;Skandeia;x;
123;43;68;17;Kastri;x;
124;30;153;246;Kythera;x;
125;7;205;140;Epidauros Limera;x;
126;238;55;163;Zarax;x;
127;156;52;245;Kypantha;x;
128;4;79;35;Prasiae;x;
129;44;23;240;Kosmas;x;
130;55;28;185;Leonídio;x;
131;233;42;178;Methana;x;
132;171;54;21;Sellasia;x;
133;78;204;189;Mugirru;x;
134;48;124;11;Arru;x;
135;38;89;240;Asea;x;
136;227;132;8;Silimna;x;
137;172;57;123;Tegea;x;
138;72;236;98;Shêru;x;
139;66;173;12;Uzzuqu;x;
140;170;228;43;Varson;x;
141;33;142;78;Mantineia;x;
142;23;242;18;Hurhutûtu;x;
143;133;32;171;Orchomenos;x;
144;31;52;27;Piana;
145;175;216;154;Hutnû;
146;75;16;54;Kleitor;
147;39;160;124;Dara;
148;251;16;15;Asandulai;
149;15;21;134;Lapathia;
150;62;26;254;Aroania;
151;231;187;149;Muntukû;
152;23;18;190;Aligu;
153;21;170;14;Mummirtu;
154;31;187;19;Nemouta;x;
155;241;171;1;Qinnu;
156;211;87;249;Karmio;x;
157;131;82;49;Hypsos;
158;39;81;218;Dimitsana;
159;174;127;13;Perivolia;x;
160;123;247;189;Hashdu;x;
161;13;27;169;Karnasi;x;
162;143;142;89;Akovos;x;
163;123;131;189;Sykies;
164;223;142;83;Sami;x;
165;12;147;81;Bukurtu;
166;3;241;181;Olympia;x;
167;113;27;119;Pednelissos;
168;73;42;196;Kistanziya;
169;173;127;19;Pyrgos;
170;239;163;94;Termessos;
171;139;63;194;Isinda;
172;39;143;198;Letrini;x;
173;249;135;154;Kouzouli;
174;183;125;124;Elis;x;
175;32;131;74;Marathea;
176;214;63;34;Gastouni;
177;167;13;154;Kyllene;x;
178;29;65;252;Mirsini;
179;178;61;21;Ahâtûtu;
180;72;21;213;Areti;
181;172;212;8;Pharae;x;
182;41;188;66;Esertu;
183;52;87;113;Pareikhos;x;
184;48;126;246;Arnabani;
185;38;25;183;Dyme;x;
186;71;219;13;Pigadia;
187;36;111;215;Roupakia;
188;128;216;3;Kaminia;
189;172;221;19;Mazarakion;
190;16;233;23;Kalentzi;
191;155;30;230;Olenos;x;
192;160;23;100;Leontion;
193;10;87;200;Zirkuh;
194;130;28;164;Patrae;
195;77;133;73;Panormos;x;
196;60;235;130;Aegion;x;
197;63;173;43;Rododafni;
198;80;253;123;Keryneia;
199;76;183;3;Diakopto;
200;200;200;1;Aegira;x;
201;100;203;20;Lavka;
202;130;106;34;Rethi;
203;204;133;200;x;ylokastro;ylokastro
204;54;232;14;Pasion;
205;52;3;223;Kalianoi;
206;137;153;79;Gimno;
207;50;120;98;Titani;
208;82;13;254;Soulinari;
209;92;71;160;Sykyon;x;
210;52;3;219;Nemea;
211;141;38;109;Mykene;x;
212;252;30;219;Lerna;x;
213;152;243;19;Hashadu;
214;72;120;224;Agrilitsa;
215;174;2;50;Akova;
216;139;232;19;Argos;x;
217;37;190;149;Midea;
218;163;130;2;Tiryns;x;
219;170;227;224;Thyrea;x;
220;137;90;59;Drepanon;
221;73;3;239;Asini;
222;237;190;159;Salanti;
223;217;130;122;Kosta;
224;37;55;249;Ermione;
225;67;200;59;Metochi;
226;65;210;149;Vlichos;
227;200;190;9;Troizena;
228;17;190;49;Epidauros;
229;73;189;144;Methana;
230;47;20;233;Mutu;
231;147;120;33;Dhimaina;
232;179;20;143;Arakhnaion;
233;66;220;23;Agionori;
234;55;10;227;Korfos;
235;37;210;233;Nâbqu;
236;72;120;46;Athikia;
237;29;157;226;Issu;
238;143;133;31;Lekhaio;
239;89;211;53;Korinthos;x;
240;144;10;22;Ismthmia;
241;91;102;224;Therme;
242;14;128;122;Usekt;
243;152;111;12;Loumpa;
244;244;110;222;Tepihu;
245;151;21;112;Uskur;
246;149;147;172;Megara;x;
